
!	.
"	"
Nógv	Q-G
Nógv$	Q-N
Nót	N-A
Nótu$	NS-D
Növn$	N-N
Nú	ADV
Nýtt	ADJ-A
O	INTJ
Obed	NPR-A
Obed	NPR-N
Offur	N-A
Og	CONJ
Ogla-ungar	NS-N
Ogn	N-A
Ogn	N-N
Ognarmann$	N-A
Ok	N-A
Ok	N-N
Okkum	PRO-D
Oljufjall$	NPR-A
Oljufjall$	NPR-N
Olmussa	N-N
Olmussu	N-A
Omin	INTJ
Ond	ADJ-A
Ond	N-A
Ond	N-D
Ond	N-N
Ond$	N-D
Ond$	N-N
Onda	ADJ-D
Ondir	NS-A
Ondir$	NS-A
Ondum	NS-D
Ongin	Q-N
Onglar$	NS-N
Onglum	NS-D
Ongum	Q-D
Orm	N-A
Orð	N-A
Orð	NS-A
Orð$	N-A
Orð$	NS-N
Orðarigti	N-A
Orði	N-D
Orðs	NPR-G
Orðum	NS-D
Ovn$	N-A
Oyr$	NS-D
Oyra	N-A
Oyrir	NS-A
Oyrum	NPR-A
Oyrur	NS-A
Oysið	VBI
Oyð$	N-A
Oyð$	N-D
Ozias	NPR-A
Ozias	NPR-N
Pafos	NPR-D
Pafos	NPR-G
Pamfýliu	NPR-D
Pamfýliu	NPR-G
Parmenas	NPR-A
Partar	NPRS-N
Paulus	NPR-A
Paulus	NPR-N
Paulusar	NPR-G
Paulusi	NPR-A
Paulusi	NPR-D
Perge	NPR-D
Perge	NPR-G
Perlu	N-D
Perlur	NS-A
Petros	NPR-N
Petrus	NPR-N
Phares	NPR-A
Phares	NPR-N
Philippus	NPR-N
Pilatus	ADJ-N
Pilatus	NPR-A
Pilatus	NPR-N
Pilatusi	NPR-D
Pisidiu	NPR-A
Pisidiu	NPR-D
Plágu	N-A
Pontius	NPR-N
Pontus	NPR-D
Portr$	N-A
Portr$	N-N
Prest$	N-D
Prestar$	NPR-A
Prestar$	NS-N
Prestu$	NS-D
Prikkur	N-N
Profet$	N-D
Profet$	N-G
Profet$	N-N
Profet$	NS-A
Profet$	NS-N
Profeta	N-A
Profeta	N-D
Profeta	N-G
Profeta$	N-D
Profetar	NS-N
Profetar$	NS-A
Profeti	N-N
Profetum	NS-D
Prokorus	NPR-A
Prædiku	N-D
Prófet$	N-D
Prófet$	NS-D
Prófeta$	N-D
Pápa	N-D
Pætur	NPR-A
Pætur	NPR-G
Pætur	NPR-N
Pæturi	NPR-D
Pæturs	NPR-G
Pætursa	NPR-G
Pínum	NS-D
Rabbi	N-N
Rabbi	NPR-N
Rabbuni	FW
Rachab	NPR-D
Raka	VBI
Rakul	NPR-N
Rama	NPR-D
Reis	VBI
Reiður	NS-A
Remfans	NPR-G
Revar	NS-N
Reyðahav$	NPR-D
Rigti	N-N
Ringu	ADJ-D
Roboam	NPR-A
Roboam	NPR-N
Rode	NPR-N
Roykilsi	N-A
Roystmenn$	N-A
Roystmennis	NPR-G
Rustur	N-N
Ruth	NPR-D
Ráð	N-A
Ráð$	N-A
Ráð$	N-D
Rætt	ADJ-A
Rætt	N-A
Rætt$	NPR-A
Rættferdigans	ADJ-G
Rættferdigum	ADJ-D
Rættferdigur	ADJ-N
Rættilig	ADJ-A
Rættiligar	ADJ-A
Rættiligheit	N-D
Rættiligheit	N-N
Rættiligheits	N-G
Rættiligir	ADJ-N
Rættiligu	ADJ-D
Rættiligu	ADJ-N
Rættvísheit	N-A
Rættvísi	ADJ-N
Ræðist	VBI
Rík$	N-A
Rík$	N-D
Rík$	NPR-D
Ríkdómi	N-D
Ríki	N-A
Ríki	N-D
Ríki	N-N
Ríki	NPR-A
Ríki	NPR-D
Ríki	NPR-N
Ríkir	NS-A
Ríkis	NPR-G
Rómverjar	NPRS-N
Rót	N-A
Rót	NPR-A
Rót$	N-A
Rökta	VBI
Rör	N-A
Rör$	N-A
Röst	N-N
Sabbat$	NPR-A
Sabbat$	NPR-D
Sabbatshelg$	NPR-A
Saddukearaflokkur$	NPR-N
Saddukearar$	NPRS-N
Saddusearar	NPRS-A
Sadok	NPR-A
Sadok	NPR-N
Saffiru	NPR-D
Sagtmóðigu	ADJ-N
Sak	N-A
Salamis	NPR-G
Salathiel	NPR-A
Salathiel	NPR-N
Salem	NPR-A
Salmon	NPR-A
Salmon	NPR-N
Salomon	NPR-A
Salomon	NPR-N
Salomons	NPR-G
Salt	N-N
Salt$	N-N
Sama	ADJ-A
Samlið	VBI
Samotrake	NPR-G
Sandi	N-D
Sankta	NPR-G
Sanniliga	ADV
Satan	NPR-N
Saul	NPR-A
Saul	NPR-N
Sebedeusar	NPR-G
Sebulons	NPR-G
Segði	VBDI
Seks	NUM-A
Sekt	N22
Selevkíu	NPR-G
Send	VBI
Sergiusi	NPR-D
Set	VBI
Setið	VBI
Seym$	N-A
Seyðabúnaði	N-D
Seyðalið$	NPR-A
Seyður	N-N
Sidoni	NPR-D
Sidoningar	NPRS-A
Sig	VBI
Siga	VBPI
Sigið	VBI
Sigur	N-A
Sigur	VBPI
Sikar	NPR-N
Sikem	NPR-D
Sikem	NPR-G
Silas	NPR-A
Silas	NPR-N
Silasar	NPR-G
Silasi	NPR-D
Siloam	NPR-D
Siloam	NPR-G
Silvur	N-A
Sinaifjall$	NPR-A
Sinaifjalli	NPR-D
Sinopskorni	N-D
Sions	NPR-G
Sjel	N-A
Sjel$	N-A
Sjelir	NS-A
Sjálvur	PRO-N
Sjó$	N-D
Sjógv$	N-A
Sjógvar$	NS-A
Sjógvar$	NS-N
Sjóvarmála$	N-D
Sjúkdómar	NS-A
Sjúklingur$	N-N
Sjúku	ADJ-A
Sjúku	N-A
Sjúkum	NS-D
Sjúkur	NS-A
Skal	MDPI
Skar$	N-N
Skat	N-A
Skaða	N-A
Skil	NS-A
Skilir	VBPI
Skilja	VBPI
Skilliga	ADV
Skilsmessu	N-G
Skip$	N-A
Skip$	N-D
Skip$	N-N
Skriftklóku	ADJ-A
Skriftklóku	ADJ-D
Skriftklóku	ADJ-G
Skriftklóku	ADJ-N
Skriftklókur	ADJ-N
Skriva	VBI
Skrivað	VAN
Skroypiligheit	N-A
Skroypiligheitur	NS-A
Skríggjan	N-N
Skuebreyð$	NS-A
Skugga	N-D
Skunda	VBI
Skuvl$	N-N
Skyld	N-A
Skyldnarum	NS-D
Skógvar	NS-A
Slag	N-A
Slag$	N-D
Slag$	N-N
Slagi	N-D
Slangur	NS-N
Sleppir	VBPI
Sleppið	VBI
Slögum	NS-D
Smádrongur	N-N
Smádrongur	NPR-N
Snjófuglar	NS-N
So	ADV
So	ADVR
So	P
Soleiðis	ADV
Son	N-A
Son$	N-A
Sonarkon$	N-A
Song	N-A
Song	N-D
Sons	NPR-G
Sonur	N-N
Sonur	NPR-N
Sonur	NPR22
Sonur$	N-N
Sovorðið	ADJ-N
Sovorðnum	ADJ-D
Spekt	N-A
Spitalsk	ADJ-N
Spitalskheit	N-N
Spitalsku	ADJ-A
Spitalskur	ADJ-N
Spottan	N-N
Spyr	VBI
Spyrjið	VBI
Spælimenn$	NS-A
Standið	VBI
Statt	VBI
Stav	N-A
Stað	N-A
Stað$	N-A
Stað$	N-D
Staði	N-D
Staðir	NS-A
Staðir$	NS-A
Staðum	NS-D
Staður	N-N
Staður$	N-N
Stefan	NPR-A
Stefan	NPR-N
Stefani	NPR-D
Stein	N-A
Steinar$	NS-N
Steini	N-D
Steinum	NS-D
Stikk	VBI
Stjörn$	N-A
Stjörn$	N-N
Stjörnu	N-A
Stoytiregn	N-N
Strangliga	ADV
Stund$	N-D
Stólur	N-N
Störri	ADJR-A
Stöv$	N-A
Stýrismenn$	NS-N
Sum	C
Summir	Q-N
Sunnan	ADV
Svarar	VBPI
Svein$	N-D
Sveinar$	NS-N
Svín	NS-A
Svínafylg$	N-A
Svínafylg$	N-N
Svínum	NS-D
Svör	NS-A
Svövn$	N-D
Synagóg$	NS-D
Synagógum	NS-D
Syndara	NS-G
Syndarar	NS-A
Syndarir	NS-N
Syndarum	NS-D
Syndir	NS-N
Syndir$	NS-A
Syndum	NS-D
Synogógu	N-A
Syria	NPR-A
Systir	N-N
Systrar	NS-N
Systrar$	NS-N
Sá	VBDI
Sálig	ADJ-N
Sáligir	ADJ-N
Sálir	ADJ-N
Sálomon	NPR-N
Sálomoni	NPR-D
Sálomons	NPR-G
Sámaritanars	NS-G
Sámuel	NPR-A
Sámuel	NPR-D
Sámária	NPR-N
Sámáriu	NPR-A
Sámáriu	NPR-D
Sámáriubúgvar$	NPRS-N
Sámáriubúgvi	NPR-N
Sámáriubúgvum	NPR-D
Sámáriubúgvum	NS-D
Sámáriukon$	NPR-N
Sámáriukona	NPR-N
Sámáriumenn	NPRS-A
Sáron	NPR-D
Sátan	NPR-N
Sælir	ADJ-N
Sí	VBI
Síggi	VBPI
Síggið	VBI
Síggja	VB
Síggja	VBPI
Símin	NPR-A
Símun	NPR-A
Símun	NPR-N
Símunar	NPR-G
Símunarsyni	NPR-D
Símuni	NPR-D
Sín	PRO-A
Síðan	ADV
Síðsta	ADJS-N
Sódoma	NPR-D
Sódoma	NPR-G
Sódomita	NPR-G
Sól	N-A
Sól$	N-N
Sögn$	N-N
Súrdeiggi	N-D
Sýn	VBI
Sýriuland	NPR-A
Sýriulandi	NPR-D
Ta	D-N
Tabita	NPR-N
Taddeus	NPR-N
Tak	VBI
Taka	VBPI
Takið	VBI
Tal	N-A
Tala	N-N
Talar	VBPI
Tali	VBPI
Talur	NS-A
Tandr$	N-A
Tankar	NS-A
Tann	D-A
Tann	D-N
Tannabit	N-N
Tarsus	NPR-D
Tarsus	NPR-G
Tað	D-N
Tað	ES
Tað	PRO-A
Tað	PRO-N
Teir	D-N
Teir	PRO-N
Tekin	N-A
Tekin	N-N
Tekj$	NS-D
Tekju	N-A
Templ$	N-D
Templ$	N-N
Teofilus	NPR-N
Tess	PRO-G
Tessalóniku	NPR-D
Tessalóniku	NPR-G
Tevdas	NPR-N
Tey	D-A
Tey	PRO-N
Thamar	NPR-D
Thummas	NPR-N
Tiberias	NPR-D
Tiberiasvatn$	NPR-A
Til	P
Tilnavni	N-D
Timburmann$	N-G
Timon	NPR-A
Timoteus	NPR-N
Timoteusar	NPR-G
Tind$	N-A
Ting	NS-A
Ting	NS-N
Tingar	N-G
Tissir	NS-A
Tit	PRO-N
Titslum	NS-D
Tjenar$	N-N
Tjenar$	NS-N
Tjenara	N-A
Tjenarar	NS-N
Tjenari	N-N
Tjóvar	NS-N
Tjóvur$	N-N
Toldarir	NS-N
Tollar$	N-N
Tollara	NS-G
Tollarir	NS-N
Tollarum	NS-D
Tollbúð$	N-D
Tonn	N-A
Tonn	N-N
Tornar	NS-A
Tornar$	NS-N
Tornum	NS-D
Troas	NPR-D
Troas	NPR-G
Trongsil	N-N
Træ	N-A
Træ	N-N
Træ$	N-A
Træ$	N-N
Trö$	NS-D
Trú$	N-A
Trúgv	N-A
Trúgv	N-N
Trúgv	VBI
Trúgvið	VBI
Trýrt	VBPI
Tummas	NPR-A
Tummas	NPR-N
Tvint	NUM-A
Tvái	VBPI
Tykkara	PRO-G
Tykkara	PRO-N
Tykkum	PRO-A
Tykkum	PRO-D
Tykkum	PRO-G
Tykkum	PRO-N
Tyrussi	NPR-D
Tá	ADV
Tá$	ADV
Tænir	VBPI
Tí	PRO-D
Tí$	PRO-D
Tím$	N-N
Tíma	N-A
Tíma	NPR-D
Tíningar	N-G
Títt	PRO-N
Tíð	N-A
Tíð	N-N
Tíð$	N-A
Tíð$	N-D
Tó	ADV
Tú	PRO-N
Tún$	N-D
Týatiru	NPR-D
Týringar	NPRS-A
Um	ADJ-D
Um	P
Um	WQ
Um$	RP
Umvendilsi	N-A
Umvendilsi	N-D
Undrast	VBI
Undrist	VBI
Uppaftur	ADV
Uriassa	NPR-G
Vakt	N-N
Vaktarmenn$	NS-N
Vandni	N-N
Vanlóp	N-N
Vanlóp	NS-N
Vantrúgv	N-A
Var	BEDI
Varið	VBI
Vatn$	N-D
Vatni	N-D
Veg	N-A
Veg$	N-A
Veg$	N-D
Vegi	N-D
Vegir	NS-A
Vei	INTJ
Veitst	VBPI
Vend	VBI
Vendið	VBI
Ver	BEI
Verið	BEI
Verkbrotin	ADJ-N
Verkbrotna	ADJ-A
Verkbrotnan	ADJ-A
Vermóðir$	N-D
Verð$	N-A
Verð$	N-D
Verð$	N-N
Verð$	NS-A
Verða	RDPI
Verðið	RDI
Verðs$	N-G
Vestri	N-D
Vextri	N-D
Vil	MDPI
Vilja	MDPI
Vilja	N-A
Vilja	N-G
Vilja	VBPI
Vilji	N-N
Villja	N-A
Vilt	MDPI
Vindur$	N-N
Vinning	N-A
Vinnings	N-G
Vinur	N-N
Vit	PRO-N
Vitnisburð	N-A
Vitnisburðar-$	N-G
Vitniski	N-A
Við	P
Vokn	N-A
Vreið$	N-D
Víkið	VBI
Vín	N-N
Vín$	N-N
Víndrankari	N-N
Víndrúvur	NS-A
Vísdóm	N-A
Vísdómur$	N-N
Vísu	ADJ-A
Vísu	ADJ-D
Vóru	BEPI
Völd	NS-A
Yvirflóð	N-A
Yvirflóð$	N-D
Zara	NPR-A
Zebedei	NPR-N
Zebedæussa	NPR-G
Zebedæusse	N-D
Zelotes	NPR-N
Zeus	NPR-A
Zeustempl$	NPR-A
Zorobabel	NPR-A
Zorobabel	NPR-N
admödd	ADJ-N
advaraðir	VAN
advaraður	VAN
aftan	ADV
aftan$	ADV
aftur	ADV
aftur$	ADV
afturhildnar	VAN
akrar$	NS-A
akurskurður$	N-N
aldeilis	ADV
aldri	ADV
aldur	N-A
aldur	N-N
aldur$	N-A
aleina	FP
alin	NS-A
alkendur	VAN
alla	Q-A
allan	Q-A
allar	Q-A
allar	Q-N
allareiða	ADV
allari	Q-D
allir	Q-N
allur	Q-N
almenna	ADJ-A
aloe	FW
alra	Q-G
als	Q-G
alskyns	N-G
alt	Q-A
alt	Q-N
altar	N-A
altsamalt	Q+ADJ-A
altsamalt	Q+ADJ-N
altíð	ADV
alvað	VAN
an	RP
and$	N-A
and$	N-G
and$	N-N
anda	N-A
anda	N-D
anda	N-G
anda$	N-D
andar	NS-A
andaði	VBDI
andaðist	VBDI
andi	N-N
andlit$	N-A
andum	NS-D
anga$	N-D
angandi	VAG
angist	N-D
anna	OTHER-A
annan	OTHER-A
annar	OTHER-N
annað	ADJ-N
annað	OTHER-A
annað	OTHER-N
annaðhvört	OTHER+WQ
annámað	VBN
ansa	VB
ansast	VB
antin	CONJ
antvora	VB
antvorða	VBPI
arbeitt	VBN
arbeið$	N-A
arbeiða	VB
arbeiða	VBPI
arbeiði	N-A
arbeiði	VBPI
arbeiðir	VBPI
arbeiðiskona	N-N
argar	VBPI
armi	N-D
armur	N-N
arv	N-A
arva	VB
arvalut	N-A
asna	N-A
asnafyli	N-D
at	C
at	C22
at	P
at	RP
at	TO
atfangadags	N-G
atfangadagur	N-N
atspreit	ADJ-N
atsókn	N-A
atsókn	N-N
av	P
av	RP
av$	P
av$	RP
avkomi	N-D
avlagi	ADV
avlops	N-G
avlíva	VB
avnoktað	VBN
avnoktaðu	VBDI
avsakan	N-A
avsett	VBN
avsíðis	ADV
aðra	ADJ-A
aðra	OTHER-A
aðra	OTHERS-A
aðrar	OTHERS-A
aðrir	OTHERS-N
aðru	ADJ-D
babylóniska	ADJ-A
babylóniska	ADJ-D
banamenn	NS-N
banka	VB
bankar	VBPI
bankaði	VBDI
bankið	VBI
bant	VBDI
bar	VBDI
bara	FP
bardir	VAN
barmi	N-D
barn	N-A
barn	N-N
barn$	N-A
bart	VBN
bað	VBDI
befalaði	VBDI
befallað	VBN
befongd	ADJ-A
begrava	VB
begynte	VBDI
begynti	VBDI
begyntu	VBDI
bein	NS-A
bein$	NS-A
bein$	NS-N
beina	ADJ-A
beina	ADJ-N
beinan	ADJ-A
beinleiðis	ADV
beint	ADV
beinu	ADJ-A
beiskleikagalli	N-D
bekenna	VB
ber	VBPI
bera	VB
bera	VBPI
berið	VBI
bert	FP
besett	VAN
bestanda	VB
betala	VB
beyð	VBDI
bili	N-D
bilsin	ADJ-A
bilsin	ADJ-N
bilsið	ADJ-A
bilsnir	ADJ-N
binda	VB
bindið	VBI
bindur	VBPI
birtist	VBDI
birtist	VBPI
birtu	VBDI
bit$	N-A
bitu	VBDI
bið	VBI
biði	VBPI
biðin	VAN
biðið	VBI
biðið	VBN
biðja	VB
biðja	VBPI
biðjið	VBI
biður	VBPI
bjarga	VBI
bjargað	VBN
bjargaði	VBDI
bjargaður	VAN
bjóðaði	VBDI
bjóði	VBPI
bjóði	VBPS
blaka	VBI
blaka	VBPI
blakast	VB
blanding	N-D
blant	P
bleiv	LBDI
bleytan	ADJ-A
blikalogn	N-N
blind	ADJ-N
blinda	ADJ-A
blinda	ADJ-D
blindað	VBN
blindir	ADJ-N
blindum	ADJ-D
blindur	ADJ-N
blivin	LAN
blivið	LBN
blivnir	LBN
blivu	LBDI
blása	VB
blæsur	VBPI
blídliga	ADV
blív	LBI
blíva	LB
blíva	LBPI
blívur	LBPI
blóð	N-A
blóð	N-N
blóð$	N-A
blóði	N-D
blóðjörð$	N-N
bondum	NS-D
borg$	N-A
borin	VAN
borið	VAN
borið	VBN
borð	NS-A
borð$	NS-A
borðreiða	N-A
borðs	N-G
borðum	NS-D
boygdi	VBDI
boð	N-A
boð	N-N
boð	NS-A
boð	NS-N
boð$	N-A
boð$	NS-A
boða	VB
boða	VBPI
boðar	VBPI
boðari	N-N
boðað	VAN
boðað	VBN
boðaði	VBDI
boðaðu	VBDI
boði	VBPI
boðin	VAN
boðið	VAN
boðið	VBN
boðum	NS-D
breiddist	VBDI
breið	ADJ-N
brenna	VB
brenna	VBPI
brennandi	VAG
brennd	VAN
bresta	VBPI
brestur	VBPI
breyt	VBDI
breyð	N-A
breyð	N-N
breyð$	N-A
breyð$	N-N
breyð$	NS-A
breyða	NS-G
breyðbróting$	N-A
breyði	N-D
breyðmolar$	NS-A
breyðu$	NS-D
brotin	VAN
brotið	VAN
broyta	VB
brunn$	N-A
brunnur	N-N
brunnur$	N-N
brutu	VBDI
brá	VBDI
brádliga	ADV
brátt	ADV
bræv	N-A
bræv$	N-A
bróta	VB
bróta	VBPI
bróðir	N-N
bróður	N-A
bróður	N-D
bróður$	N-A
brögdum	NS-D
bröðr$	NS-D
bröðr$	NS-G
bröðra$	NS-D
bröðrum	ADJ-D
bröðrum	NS-D
bröður	N-N
bröður	NS-A
bröður	NS-N
bröður$	NS-A
bröður$	NS-N
brúdleyp	N-N
brúdleyp$	N-A
brúsaðu	VBPI
brúðgóm$	N-A
brúðgóms$	N-G
brúðgómur	N-N
brúðr$	N-A
buldraði	VBDI
bundin	VAN
bundin	VAN-A
bundnan	VAN-A
bundu	VBDI
burt	ADV
burtur	ADV
burtur$	ADV
buðu	VBDI
bygd	N-A
bygd	N-D
bygd$	N-A
bygd$	N-D
bygd$	N-N
bygd$	NS-D
bygdarlið$	N-A
bygdi	VBDI
bygdir	NS-A
bygdir$	NS-A
bygdu$	NS-D
bygdum	NS-D
byggbreyð	NS-A
byggbreyðu$	NS-D
byggja	VB
byrjan	N-A
byrði	N-A
bát	N-A
bát$	N-A
bát$	N-D
bátar	NS-N
bátar$	NS-A
bátur	N-N
bátur$	N-N
báðar	Q-A
báðir	Q-N
báðum	Q-D
bæði	CONJ
bæði	CONJ-1
bæði	CONJ-2
bæði	CONJ-3
bæði	CONJ-4
bæði	Q-N
bíndi	VBDI
bíða	VB
bíðaði	VBDI
bíðaðu	VBDI
bók	N-D
bókum	NS-D
bóru	VBDI
bóðu	VBDI
bödtu	VBDI
bön	N-A
bön	N-D
bön	N-N
bön$	N-D
bönagerð	N-D
bönahaldsstað$	N-A
bönahaldsstaður	N-N
bönastund$	N-A
bönhoyrdur	VAN
bönir$	NS-A
börn	NS-A
börn	NS-N
börnum	NS-D
búgv	N-A
búgva	VB
búgva	VBPI
búsettir	ADJ-N
búsettir	VAN
búsettist	VBDI
bústað	N-A
bústaði	N-D
bústaðir	NS-N
búði	VBDI
búðu	VBDI
býarstýr$	N-A
býr	VBPI
býrt	VBPI
býtti	VBDI
býttu	VBDI
dag	N-A
dag$	N-A
dagar	NS-A
dagar	NS-N
dagar$	NS-A
dagliga	ADJ-A
dagliga	ADV
dagligu	ADJ-A
dagstevndan	ADJ-A
dagur	N-N
dampar	VBPI
dansa	VB
darsum	P
datt	VBDI
deg$	N-D
degi	N-D
deildu	VBDI
denarar	NS-A
dettur	VBPI
devla	NS-G
devlar	NS-A
devulsett	VAN
deyð	ADJ-A
deyð	ADJ-N
deyð$	N-A
deyða	ADJ-A
deyða	ADJ-G
deyða	N-A
deyða	N-D
deyða	N-G
deyða$	N-D
deyða$	N-G
deyðan	ADJ-A
deyðasök	N-A
deyði	ADJ-N
deyðir	ADJ-N
deyðu	ADJ-N
deyðum	ADJ-D
deyður	ADJ-N
dipin	VAN
dirv$	N-A
dirvi	N-D
djevl$	NPR-D
djevul	N-N
djevul$	NPR-A
djevul$	NPR-N
djevuls	ADJ-G
djór	NS-N
djór$	NS-A
djúpa	ADJ-A
djúpur	ADJ-N
doyggja	VB
doypa	VB
doypast	VB
doypi	VBPI
doypir	VBPI
doypt	VAN
doypti	VBDI
doyptir	VAN
doyptist	VBDI
doyptur	VAN
doyr	VBPI
doyði	VBDI
doyðu	VBDI
drag	VBI
draga	VB
draga	VBPI
drakk	VBDI
drap	VBDI
drapst	VBDI
dregur	VBPI
dreiv	VBDI
drekka	N-A
drekka	VB
drekka	VBPI
drekki	VBPS
drekkur	VBPI
drep	VBI
drepa	VB
drepur	VBPI
dreymar	NS-A
drigið	VBN
dripið	VBN
dripnir	VAN
drivin	VAN
drivið	VBN
drivnir	VAN
drotning	N-D
droyma	VB
drukku	VBDI
druknir	ADJ-N
drykkur	N-N
dríva	VB
dríva	VBPI
drívi	VBPI
drívir	VBPI
drívið	VBI
drívur	VBPI
dró	VBDI
drógu	VBDI
drópu	VBDI
dugir	VBPI
duldum	NS-D
dummur	ADJ-N
dumt	ADJ-A
dun	N-N
dun$	N-A
dur$	NS-D
duratern$	N-A
duravaktar$	N-N
dust$	N-A
dvaldi	VBDI
dvaldist	VBDI
dvaldu	VBDI
dvaldust	VBDI
dvölja	VB
dyppaði	VBDI
dyppi	VBPI
dyr	NS-A
dyr	NS-N
dyr$	NS-A
dyr$	NS-N
dyrnar	NS-A
dátt	ADJ-N
dóm	N-A
dóm$	N-A
dómara	N-G
dómarar	NS-A
dómarasæt$	N-A
dómari	N-N
dómfelli	VBPI
dóms	N-G
dómur	N-N
dómur$	N-N
dóp	N-A
dóp$	N-A
dópi	N-D
dópi	VBPI
dóttir	N-N
dögu$	NS-D
dögum	NS-D
döma	VB
döma	VBPI
dömast	VB
dömdi	VBDI
dömdu	VBDI
dömdur	VAN
dömi	VBPI
dömir	VBPI
dömið	VBI
döpurhuga	N-D
dötur	NS-N
döði	VBDI
dúgvu	N-G
dúgvur	NS-A
dúgvuseljarar$	NS-A
dúk	N-A
dýrabarari	ADJR-D
dýran	ADJ-A
dýrd	N-A
dýrd	N-D
dýrd$	N-A
dýrdar	N-G
dýrgripir	NS-A
dýri	ADJ-N
dýrka	VBPI
dýrkan	N-A
dýrmeta	VB
dýrmett	VAN-A
dýrmett	VBN
dýrmettan	VAN-A
dýrmettur	VAN
dýrmætan	ADJ-A
dýrum	ADJ-D
edik$	NS-A
ediki	N-D
eftir	ADV
eftir	P
eftirkomarar	NS-N
eftirlíkaði	VBDI
eg	PRO-N
egna	ADJ-A
egna	ADJ-D
egnu	ADJ-A
egnu	ADJ-D
egnum	ADJ-D
ei	NEG
eiga	VB
eiga	VBPI
eigi	VBPI
eigindóm	N-A
eigur	VBPI
ein	ONE-A
ein	ONE-N
eina	FP
eina	ONE-A
einasta	FP-D
einborin	ADJ-N
einborna	ADJ-A
einborna	ADJ-G
einborni	ADJ-N
einfaldi	N-D
einfoldigir	ADJ-N
eingi	Q-A
eingil	N-A
eingil	N-N
eingil	NS-N
eingil$	N-A
eingil$	N-N
eingil$	NS-N
eingils	N-G
eingin	Q-N
eingl$	N-D
einglar	N-A
einglar	NS-A
eingli	N-D
einglum	NS-D
einhvönn	ONE+Q-A
eini	ONE-D
einingi	N-D
einki	Q-A
einki	Q-N
einkis	Q-G
einkjur	NS-N
einkjur$	NS-A
einkjur$	NS-N
eins	ADVR
einsamallan	ADJ-A
einsamallir	ADJ-N
einsamallur	ADJ-N
einsamalt	ADJ-N
einsömallum	ADJ-D
einum	ONE-D
eisini	ALSO
eitt	ONE-A
eitt	ONE-N
eitur	VBPI
eiði	N-D
ekka	N-A
eld	N-A
eld$	N-A
eldi	N-D
eldsloga	N-A
ella	CONJ
ellar	CONJ
ellars	ADV
eller	CONJ
ellivu	NUM-D
elska	VB
elska	VBPI
elskar	VBPI
elskað	VBN
elskaði	VBDI
elskaðu	VBDI
elskaður	VAN
elski	VBPI
elskið	VBI
elskuligi	ADJ-N
elskuligu	ADJ-D
elstar	ADJS-A
elstu	ADJS-A
elstu	ADJS-D
elstu	ADJS-N
elti	VBDI
eltir	VBPI
eltu	VBDI
elvdist	VBDI
end$	N-A
enda	ADV
enda	N-G
enda	VB
endamark	N-A
endar	NS-A
endað	VAN
endað	VBN
endurreisa	VB
endurreisnartíð$	N-N
enn	ADV
enn	ADVR
enn	FP
enn	P
ennogso	ALSO
enntá	ADV
enntá	ADVR
ennú	ADV
epikursku	ADJ-D
er	BEPI
eri	BEPI
ert	BEPI
erta	VB
ertur	VBPI
eru	BEPI
erva	ADVR
et	VBI
eta	VB
eta	VBPI
etin	VAN
etið	VBN
etur	VBPI
evsta	ADJS-D
evstu	ADJS-D
eyg$	N-A
eyg$	NS-A
eyg$	NS-D
eygu	NS-A
eygu	NS-N
eygu$	NS-D
eygum	N-D
eygum	NS-D
eymka	VB
eystur	ADV
fagnar	VBPI
fagnaði	VBDI
fagnaðir	VAN
fallin	VBN
falnu	VBN-A
fangahús	N-A
fangahús$	N-A
fangahús$	N-D
fangahús$	NS-D
fangahúsdyr$	NS-A
fangar$	NS-N
fangarúm$	N-D
fangavaktar$	N-N
fangavaktara$	N-D
fangi	N-D
fann	VBDI
fannst	VBDI
fanst	VBDI
far	N-A
far	VBI
fara	VB
fara	VBPI
farast	VB
fari	VBPI
fari	VBPS
farin	VAN
farin	VBN
farið	VBI
farið	VBN
farnar	VBN
farnir	VBN
fast	ADV
fasta	VB
fasta	VBPI
fastar	ADJ-A
fastar	ADVR
fastar	VBPI
fastað	VBN
fastaðu	VBDI
fastliga	ADV
faðir	N-A
faðir	N-D
faðir	N-N
faðir$	N-A
faðir$	N-D
faðir$	N-N
faðir$	NS-A
faðirleysar	ADJ-A
faðirs	N-G
faðirs$	N-G
fedr$	NS-D
fedra	NS-G
fedrar	NS-A
fedrar	NS-N
fedru$	NS-D
fedrum	NS-D
fegin	ADJ-N
fegnast	VB
fegnaðist	VBDI
fegnir	ADJ-N
feiað	VAN-A
fekk	VBDI
fekk	VBPI
fekst	VBDI
felag	N-A
felagar	NS-A
felagi	N-D
feldi	VBDI
fell	VBDI
fellur	VBPI
fer	VBPI
ferfött	ADJ-N
ferföttu	ADJ-A
fert	VBPI
ferð	N-A
ferð	VBPI
ferð$	N-A
ferð$	N-D
ferð$	N-N
ferðast	VB
ferðast	VBN
ferðast	VBPI
ferðaðist	VBDI
ferðaðust	VBDI
ferðir	NS-A
ferðugur	ADJ-N
fest	VAN
festi	VBDI
fikutræ$	N-D
fimm	NUM-A
fimm	NUM-D
fimm	NUM-N
fimmti	NUM-A
fimmti	NUM-D
fimmti	NUM-G
fimtan	NUM-A
fingið	MDN
fingið	VAN
fingið	VBN
fingnir	VAN
fingr$	N-D
fingri	N-D
fingu	VBDI
finna	VB
finna	VBPI
finni	VBPI
finnur	VBPI
