Fossavatnsgangan	nvengs

Danski	lkenvf
samgönguráðherrann	nkeng
,	pk
Flemming	n----s
Hansen	n----s
,	pk
og	c
aðrir	fokfn
fulltrúar	nkfn
stjórnarflokkanna	nkfeg
hafa	sfg3fn
farið	sþghen
fram	aa
á	af
að	c
gerð	sþgven
verði	svg3en
sérstök	lvensf
úttekt	nven
á	af
málinu	nheþg
með	af
tilliti	nheþ
til	af
dauðaslyssins	nheeg
við	af
Viborg	n----s
.	pl

Unz	c
danska	lhenvf
þingið	nheng
kemur	sfg3en
saman	aa
næst	aae
vill	sfg3en
Per	n----s
Dalgaard	n----s
,	pk
talsmaður	nken
þingflokks	nkee
Danska	lkeevf
þjóðarflokksins	nkeeg
,	pk
að	c
dómsmálaráðherrann	nkeng
,	pk
Lene	n----s
Espersen	n----s
,	pk
setji	svg3en
tafarlaust	aa
bann	nheo
við	af
því	fpheþ
að	c
ungir	lkfnsf
og	c
reynslulitlir	lkfnsf
ökumenn	nkfn
fái	svg3fn
að	cn
stýra	sng
stærstu	lveþve
gerð	nveþ
af	af
vöruflutningabílum	nkfþ
á	af
dönskum	lkfþsf
þjóðvegum	nkfþ
.	pl

Myndbirtingin	nveng
vekur	sfg3en
sterk	lhfosf
viðbrögð	nhfo
meðal	af
araba	nkfe
:	pa
MYNDIR	nvfn
af	af
blóðugum	lhfþsf
og	c
afmynduðum	lhfþsf
andlitum	nhfþ
sona	nkfe
Saddams	n----s
Husseins	n----s
,	pk
sem	ct
birtar	sþgvfn
voru	sfg3fþ
síðdegis	nhee
í	aa
gær	aa
í	af
Bagdad	n----s
og	c
sýndar	sþgvfn
í	af
sjónvarpi	nheþ
um	af
allan	fokeo
heim	nkeo
,	pk
virðast	sfm3fn
hafa	sng
sannfært	sþghen
flesta	lkfose
Araba	nkfo-s
sem	ct
höfðu	sfg3fþ
efasemdir	nvfo
um	af
að	c
þeir	fpkfn
Uday	n----s
og	c
Qusay	n----s
hefðu	svg3fþ
í	af
raun	nveþ
látið	sþghen
lífið	nheog
í	af
átökum	nhfþ
við	af
bandaríska	lkfosf
herflokka	nkfo
í	af
Mosul	n----s
á	af
þriðjudag	nkeo
.	pl

Myndirnar	nvfng
hafa	sfg3fn
vakið	sþghen
sterk	lhfosf
viðbrögð	nhfo
meðal	af
Araba	nkfe-s
,	pk
allt	foheo
frá	af
reiði	nveþ
til	af
ánægju	nvee
.	pl

Ég	fp1en
hafði	sfg1eþ
efasemdir	nvfo
en	c
nú	aa
er	sfg1en
ég	fp1en
viss	lkensf
um	af
að	c
þeir	fpkfn
eru	sfg3fn
dauðir	lkfnsf
,	pk
sagði	sfg3eþ
Ameen	n----s
Hmoud	n----s
,	pk
starfsmaður	nken
flugmálastjórnarinnar	nveeg
í	af
Jemen	n----s
.	pl

Endalok	nhfn
þeirra	fpkfe
eru	sfg3fn
við	af
hæfi	nheo
miðað	sþghen
við	af
líf	nheo
þeirra	fpkfe
.	pl

Þeir	fpkfn
áttu	sfg3fþ
þennan	fakeo
dauðdaga	nkeo
skilinn	lkeosf
.	pl

Í	af
fyrrakvöld	nheo
brutust	sfm3fþ
mikil	lhfnsf
fagnaðarlæti	nhfn
út	aa
í	af
Bagdad	n----s
,	pk
þegar	c
fréttir	nvfn
bárust	sfm3fþ
af	af
dauða	nkeþ
bræðranna	nkfeg
,	pk
sem	ct
voru	sfg3fþ
alræmdir	lkfnsf
fyrir	af
fantaskap	nkeo
,	pk
einkum	aa
Uday	n----s
,	pk
en	c
margir	lkfnsf
sögðust	sfm3fþ
ekki	aa
myndu	sng
trúa	sng
þeim	favfþ
fréttum	nvfþ
fyrr	aam
en	c
þeir	fpkfn
sæju	svg3fþ
myndir	nvfo
af	af
líkunum	nhfþg
.	pl

Þrátt	aa
fyrir	af
að	c
bræðurnir	nkfng
væru	svg3fþ
illræmdir	lkfnsf
sagði	sfg3eþ
Izzy	n----s
Hussein	n----s
,	pk
bílstjóri	nken
í	af
Jemen	n----s
,	pk
að	c
Arabar	nkfn-s
ættu	svg3fþ
að	cn
vera	sng
reiðir	lkfnsf
yfir	af
því	fpheþ
að	c
lík	nhfn
bræðranna	nkfeg
væru	svg3fþ
sýnd	sþghfn
opinberlega	aa
.	pl

Þeir	fpkfn
hefðu	svg3fþ
ekki	aa
átt	sþghen
að	cn
birta	sng
þessar	favfo
myndir	nvfo
.	pl

Allir	fokfn
múslimar	nkfn
ættu	svg3fþ
að	cn
bregðast	snm
við	aa
.	pl

Það	fphen
þarf	sfg3en
að	cn
leita	sng
hefnda	nvfe
.	pl

Enginn	foken
Íraki	nken-s
,	pk
Arabi	nken-s
eða	c
múslimi	nken
mun	sfg3en
gleyma	sng
þessu	faheþ
.	pl

Bandaríkjamenn	nkfn-s
verða	sfg3fn
að	cn
gjalda	sng
fyrir	af
þetta	faheo
.	pl

Þeir	fpkfn
eru	sfg3fn
skepnur	nvfn
,	pk
sagði	sfg3eþ
Hussein	n----s
.	pl

Hatur	nhen
á	af
Bandaríkjunum	nhfþgs
hefur	sfg3en
magnast	sþmhen
.	pl

Ef	c
þeir	fpkfn
væru	svg3fþ
á	af
lífi	nheþ
og	c
væru	svg3fþ
dregnir	sþgkfn
fyrir	af
rétt	nkeo
,	pk
væri	svg3eþ
það	fphen
í	af
lagi	nheþ
.	pl

En	c
þetta	fahen
er	sfg3en
hryðjuverkastarfsemi	nven
.	pl

Arabískar	lvfnsf
gervihnattastöðvar	nvfn
sýndu	sfg3fþ
myndirnar	nvfog
af	af
líkum	nhfþ
bræðranna	nkfeg
um	af
leið	nveo
og	c
þeim	fpvfþ
var	sfg3eþ
dreift	sþghen
til	af
fréttamanna	nkfe
í	af
Bagdad	n----s
.	pl

Sumir	fokfn
áhorfendur	nkfn
minntu	sfg3fþ
á	af
athugasemdir	nvfo
Bandaríkjamanna	nkfe-s
þegar	c
arabískar	lvfnsf
sjónvarpsstöðvar	nvfn
birtu	svg3fþ
myndir	nvfo
af	af
líkum	nhfþ
bandarískra	lkfesf
hermanna	nkfe
sem	ct
féllu	svg3fþ
í	af
Íraksstríðinu	nheþgs
.	pl

Tony	n----s
Sawaya	n----s
,	pk
tryggingasali	nken
í	af
Líbanon	nheþ-s
,	pk
sagði	sfg3eþ
að	c
þessi	fahfn
mál	nhfn
væru	svg3fþ
ekki	aa
sambærileg	lhfnsf
.	pl

Þetta	fahen
er	sfg3en
sérstakt	lhensf
mál	nhen
og	c
þeir	fpkfn
hafa	sfg3fn
birt	sþghen
myndirnar	nvfog
eftir	af
kröfu	nveþ
frá	af
almenningi	nkeþ
,	pk
sagði	sfg3eþ
hún	fpven
.	pl

Hún	fpven
bætti	sfg3eþ
við	aa
að	c
auðvitað	aa
væri	svg3eþ
hægt	lhensf
að	cn
breyta	sng
myndunum	nvfþg
en	c
hún	fpven
teldi	svg3eþ
að	c
þær	fpvfn
væru	svg3fþ
ósviknar	lvfnsf
þar	aa
sem	c
Bandaríkjamenn	nkfn-s
myndu	svg3fþ
ekki	aa
taka	sng
áhættuna	nveog
af	af
lygum	nvfþ
.	pl

Sana	n----s
Khalil	n----s
,	pk
ríkisstarfsmaður	nken
í	af
Líbanon	nheþ-s
,	pk
sagðist	sfm3eþ
einnig	aa
telja	sng
að	c
myndirnar	nvfng
væru	svg3fþ
ósviknar	lvfnsf
en	c
þær	fpvfn
myndu	svg3fþ
ekki	aa
breyta	sng
skoðun	nveþ
þeirra	fakfe
sem	ct
hefðu	svg3fþ
efasemdir	nvfo
um	af
að	c
þær	fpvfn
væru	svg3fþ
í	af
raun	nveþ
af	af
sonum	nkfþ
Saddams	n----s
.	pl

Kaíró	n----s
.	pl

AP	n----s
.	pl

Fresta	sfg3fn
birtingu	nveþ
framburðar	nkee
:	pa
UTANRÍKISMÁLANEFND	nven
neðri	lveevm
deildar	nvee
breska	lheevf
þingsins	nheeg
tilkynnti	sfg3eþ
í	aa
gær	aa
að	c
frestað	sþghen
yrði	svg3eþ
birtingu	nveþ
á	af
framburði	nkeþ
fréttamannsins	nkeeg
Andrews	n----s
Gilligans	n----s
fyrir	af
nefndinni	nveþg
,	pk
en	c
Gilligan	n----s
var	sfg3eþ
höfundur	nken
umdeildrar	lveesf
fréttar	nvee
breska	lheevf
ríkisútvarpsins	nheeg
,	pk
BBC	n----s
,	pk
um	af
meðhöndlun	nveo
stjórnvalda	nhfe
á	af
leyniþjónustuupplýsingum	nvfþ
í	af
aðdraganda	nkeþ
Íraksstríðsins	nheegs
.	pl

Gilligan	n----s
bar	sfg3eþ
vitni	nheo
fyrir	af
nefndinni	nveþg
fyrir	af
lokuðum	lvfþsf
dyrum	nvfþ
í	af
síðustu	lveþve
viku	nveþ
og	c
greindi	sfg3eþ
þar	aa
frá	af
fundi	nkeþ
sínum	fekeþ
með	af
David	n----s
Kelly	n----s
,	pk
vopnasérfræðiráðgjafa	nkeþ
bresku	lveevf
stjórnarinnar	nveeg
,	pk
en	c
BBC	n----s
hefur	sfg3en
lýst	sþghen
því	fpheþ
yfir	af
að	c
Kelly	n----s
,	pk
sem	ct
síðar	aam
fyrirfór	sfg3eþ
sér	fpkeþ
,	pk
hafi	svg3en
verið	sþghen
aðalheimildarmaðurinn	nkeng
fyrir	af
fréttinni	nveþg
.	pl

Í	af
henni	fpveþ
var	sfg3eþ
fullyrt	sþghen
að	c
stjórnvöld	nhfn
hefðu	svg3fþ
ýkt	sþghen
ógnina	nveog
er	ct
stafaði	svg3eþ
af	af
meintri	lveþsf
gereyðingarvopnaeign	nveþ
Íraka	nkfe-s
í	af
því	faheþ
skyni	nheþ
að	cn
réttlæta	sng
herförina	nveog
gegn	af
þeim	fpkfþ
.	pl

Formaður	nken
utanríkismálanefndarinnar	nveeg
,	pk
sem	ct
rannsakað	sþghen
hefur	sfg3en
meintar	lvfosf
ýkjur	nvfo
stjórnvalda	nhfe
,	pk
sagði	sfg3eþ
í	aa
gær	aa
að	c
Gilligan	n----s
hefði	svg3eþ
veitt	sþghen
heimild	nveo
fyrir	af
því	fpheþ
að	c
framburður	nken
hans	fpkee
yrði	svg3eþ
gerður	sþgken
opinber	lkensf
,	pk
en	c
síðan	aa
farið	sþghen
fram	aa
á	af
að	c
það	fphen
yrði	svg3eþ
ekki	aa
gert	sþghen
.	pl

Því	aa
hefði	svg3eþ
nefndin	nveng
fallist	sþmhen
á	aa
,	pk
með	af
semingi	nkeþ
þó	aa
,	pk
að	cn
birta	sng
ekki	aa
framburðinn	nkeog
.	pl

Formaðurinn	nkeng
,	pk
Donald	n----s
Anderson	n----s
,	pk
bætti	sfg3eþ
því	fpheþ
við	aa
að	c
framburður	nken
Gilligans	n----s
yrði	svg3eþ
látinn	sþgken
í	af
té	nheo
dómaranum	nkeþg
Hutton	n----s
lávarði	nkeþ
,	pk
sem	ct
stjórnvöld	nhfn
hafa	sfg3fn
skipað	sþghen
til	af
að	cn
rannsaka	sng
dauða	nkeo
Kellys	n----s
,	pk
sem	ct
fannst	sfm3eþ
látinn	lkensf
skammt	aa
frá	af
heimili	nheþ
sínu	feheþ
fyrir	af
viku	nveþ
.	pl

Anderson	n----s
sagði	sfg3eþ
eftir	af
að	c
Gilligan	n----s
bar	sfg3eþ
vitni	nheo
á	af
fimmtudaginn	nkeog
í	af
síðustu	lveþve
viku	nveþ
að	c
framburður	nken
fréttamannsins	nkeeg
hefði	svg3eþ
verið	sþghen
ófullnægjandi	lkenof
og	c
hefði	svg3eþ
hann	fpken
skipt	sþghen
um	af
skoðun	nveo
í	af
miðjum	lkeþsf
vitnisburði	nkeþ
.	pl

Náin	lhfnsf
tengsl	nhfn
við	af
MI6	ta
?	pl

Breska	lhenvf
blaðið	nheng
The	n----s
Independent	e
sagðist	sfm3eþ
í	aa
gær	aa
hafa	sng
upplýsingar	nvfo
um	af
að	c
Kelly	n----s
hefði	svg3eþ
haft	sþghen
náin	lhfosf
tengsl	nhfo
við	af
leyniþjónustuna	nveog
og	c
verið	sþghen
í	af
góðri	lveþsf
aðstöðu	nveþ
til	af
að	cn
dæma	sng
um	aa
hvort	c
stjórnvöld	nhfn
hefðu	svg3fþ
ýkt	sþghen
ógnina	nveog
er	ct
stafaði	svg3eþ
af	af
vopnaeign	nveþ
Íraka	nkfe-s
.	pl

Upplýsingarnar	nvfng
er	ct
blaðið	nheng
hafi	svg3en
veki	svg3fn
spurningar	nvfo
um	af
fullyrðingar	nvfo
stjórnarinnar	nveeg
,	pk
áður	aa
en	c
[	pa
Kelly	n----s
]	pa
lést	sfm3eþ
,	pk
þess	fahee
efnis	nhee
að	c
hann	fpken
hafi	svg3en
einungis	aa
verið	sþghen
lágt	aa
settur	lkensf
tæknimaður	nken
,	pk
að	af
því	fpheþ
er	ct
segir	sfg3en
á	af
fréttavef	nkeþ
blaðsins	nheeg
.	pl

Kelly	n----s
hafi	svg3en
verið	sþghen
ráðgjafi	nken
greiningardeildar	nvee
varnarmálaráðuneytisins	nheeg
,	pk
sem	ct
hafi	svg3en
aðgang	nkeo
að	af
leynilegum	lvfþsf
upplýsingum	nvfþ
frá	af
leyniþjónustunni	nveþg
(	pa
MI6	ta
)	pa
og	c
fleiri	lvfþvm
stofnunum	nvfþ
,	pk
auk	af
upplýsinga	nvfe
er	ct
berist	svm3en
frá	af
leyniþjónustum	nvfþ
bandalagsríkja	nhfe
Breta	nkfe-s
.	pl

Því	aa
hafi	svg3en
Kelly	n----s
gegnt	af
mikilvægu	lheþsf
hlutverki	nheþ
við	af
að	cn
veita	sng
upplýsingar	nvfo
,	pk
sem	ct
settar	sþgvfn
voru	sfg3fþ
í	af
skýrslu	nveo
stjórnvalda	nhfe
,	pk
um	af
ógnina	nveog
af	af
vopnum	nhfþ
Íraka	nkfe-s
.	pl

Þá	aa
hafi	svg3en
MI6	ta
fengið	sþghen
Kelly	n----s
til	af
að	cn
yfirheyra	sng
íraska	lkfosf
liðhlaupa	nkfo
sem	ct
sagst	sþmhen
hafi	svg3fn
búa	sng
yfir	af
upplýsingum	nvfþ
um	af
gereyðingarvopn	nhfo
Saddams	n----s
Husseins	n----s
.	pl

London	n----s
.	pl

AP	n----s
.	pl

Morðinginn	nkeng
vildi	sfg3eþ
sæti	nheo
borgarfulltrúans	nkeeg
:	pa
AÐ	af
SÖGN	nveþ
Michael	n----s
Bloombergs	n----s
,	pk
borgarstjóra	nkee
New	n----s
York-borgar	nvee-s
,	pk
varð	sfg3eþ
brestur	nken
í	af
öryggisgæslu	nveþ
ráðhússins	nheeg
til	af
þess	fphee
að	c
byssumaðurinn	nkeng
sem	ct
myrti	sfg3eþ
borgarfulltrúa	nkeo
í	af
ráðhúsinu	nheþg
í	af
fyrradag	nkeo
komst	sfm3eþ
vopnaður	lkensf
inn	aa
í	af
bygginguna	nveog
.	pl

Það	fphen
hefur	sfg3en
greinilega	aa
orðið	sþghen
brestur	nken
einhvers	fokee
staðar	nkee
,	pk
sagði	sfg3eþ
hann	fpken
eftir	af
atvikið	nheog
.	pl

Ég	fp1en
hef	sfg1en
átt	sþghen
erfiða	lkfosf
daga	nkfo
um	af
ævina	nveog
en	c
aldrei	aa
eins	aa
erfiða	lkfosf
og	c
daginn	nkeog
í	af
dag	nkeo
.	pl

Byssumaðurinn	nkeng
sem	ct
skaut	sfg3eþ
borgarfulltrúann	nkeog
James	n----s
Davis	n----s
til	af
bana	nkee
í	af
fyrradag	nkeo
hét	sfg3eþ
Othniel	n----s
Askew	n----s
og	c
var	sfg3eþ
31	ta
árs	nhee
gamall	lkensf
andstæðingur	nken
hans	fpkee
í	af
pólitík	nveþ
.	pl

Svo	aa
virðist	sfm3en
sem	c
Askew	n----s
hafi	svg3en
fylgt	sþghen
Davis	n----s
inn	aa
í	af
ráðhúsið	nheog
sem	ct
gestur	nken
hans	fpkee
og	c
því	aa
ekki	aa
þurft	sþghen
að	cn
fara	sng
í	aa
gegnum	af
málmleitartæki	nhfo
öryggisvarða	nkfe
.	pl

Bloomberg	n----s
tilkynnti	sfg3eþ
í	aa
gær	aa
að	c
allir	fokfn
starfsmenn	nkfn
ráðhússins	nheeg
,	pk
þar	aa
á	aa
meðal	aa
hann	fpken
sjálfur	fbken
,	pk
myndu	svg3fþ
héðan	aa
í	aa
frá	aa
og	c
án	af
undantekninga	nvfe
þurfa	sng
að	cn
fara	sng
í	aa
gegnum	af
málmleitarhliðið	nheog
.	pl

Að	af
öllum	fohfþ
líkindum	nhfþ
má	sfg3en
rekja	sng
morðið	nheog
á	af
Davis	n----s
til	af
pólitískrar	lveesf
deilu	nvee
hans	fpkee
og	c
Askews	n----s
en	c
sá	faken
síðarnefndi	lkenvf
hafði	sfg3eþ
þremur	tfvfþ
klukkustundum	nvfþ
áður	aa
en	c
morðið	nheng
var	sfg3eþ
framið	sþghen
hringt	sþghen
á	af
skrifstofu	nveo
bandarísku	lveevf
alríkislögreglunnar	nveeg
(	pa
FBI	n----s
)	pa
og	c
staðhæft	sþghen
að	c
Davis	n----s
áreitti	svg3eþ
sig	fpkeo
vegna	af
komandi	lvfeof
forkosninga	nvfe
en	c
Askew	n----s
ætlaði	sfg3eþ
að	cn
bjóða	sng
sig	fpkeo
fram	aa
gegn	af
Davis	n----s
sem	ct
fulltrúa	nkeo
demókrata	nkfe
í	af
borgarstjórn	nveþ
.	pl

Hann	fpken
hafði	sfg3eþ
þó	aa
ekki	aa
lagt	sþghen
fram	aa
formlegt	lheosf
framboð	nheo
enda	c
hafði	sfg3eþ
honum	fpkeþ
ekki	aa
tekist	sþmhen
að	cn
skila	sng
inn	aa
undirskriftum	nvfþ
til	af
stuðnings	nkee
framboðinu	nheþg
í	af
tæka	lveosf
tíð	nveo
.	pl

Mikil	lvensf
geðshræring	nven
í	af
ráðhúsinu	nheþg
Að	af
sögn	nveþ
vitna	nhfe
var	sfg3eþ
Davis	n----s
nýstaðinn	lkensf
upp	aa
úr	af
sæti	nheþ
sínu	feheþ
á	af
áhorfendapöllum	nkfþ
fundarsalar	nkee
borgarstjórnar	nvee
,	pk
en	c
þar	aa
sátu	sfg3fþ
hann	fpken
og	c
Askew	n----s
saman	aa
,	pk
er	c
Askew	n----s
skaut	sfg3eþ
hann	fpkeo
í	af
bakið	nheog
og	c
hélt	sfg3eþ
hann	fpken
áfram	aa
að	cn
skjóta	sng
eftir	af
að	c
borgarfulltrúinn	nkeng
féll	sfg3eþ
í	af
gólfið	nheog
.	pl

Óeinkennisklæddur	lkensf
öryggisvörður	nken
skaut	sfg3eþ
þá	aa
sex	tfhfþ
skotum	nhfþ
að	af
Askew	n----s
og	c
hæfðu	sfg3fþ
fimm	tfhfn
.	pl

Mennirnir	nkfng
tveir	tfkfn
voru	sfg3fþ
fluttir	sþgkfn
á	af
sjúkrahús	nheo
þar	aa
sem	c
þeir	fpkfn
voru	sfg3fþ
báðir	fokfn
úrskurðaðir	sþgkfn
látnir	lkfnsf
.	pl

Mikil	lvensf
geðshræring	nven
greip	sfg3eþ
um	af
sig	fpveo
í	af
ráðhúsinu	nheþg
er	c
skothríðin	nveng
hófst	sfm3eþ
um	af
miðjan	lkeosf
dag	nkeo
í	af
fyrradag	nkeo
enda	c
var	sfg3eþ
ekki	aa
ljóst	lhensf
strax	aa
hvort	c
byssumaðurinn	nkeng
hefði	svg3eþ
komist	sþmhen
undan	aa
.	pl

Fólk	nhen
kastaði	sfg3eþ
sér	fpheþ
niður	aa
,	pk
faldi	sfg3eþ
sig	fpheo
undir	af
skrifborðum	nhfþ
og	c
öskur	nhfn
fólksins	nheeg
gerðu	sfg3fþ
það	fpheo
að	af
verkum	nhfþ
að	c
lögreglan	nveng
gat	sfg3eþ
ekki	aa
með	af
góðu	lheþsf
móti	nheþ
greint	sþghen
hvaðan	aa
skothljóðin	nhfng
bárust	sfm3fþ
.	pl

Lögreglumenn	nkfn
,	pk
minnugir	lkfnsf
hryðjuverkaárásanna	nvfeg
11	ta
september	nkeo
2001	ta
,	pk
fylltu	sfg3fþ
nálægar	lvfosf
götur	nvfo
á	af
örskömmum	lkeþsf
tíma	nkeþ
og	c
öllum	fovfþ
útgönguleiðum	nvfþ
úr	af
ráðhúsinu	nheþg
var	sfg3eþ
lokað	sþghen
meðan	c
byssumannsins	nkeeg
var	sfg3eþ
leitað	sþghen
.	pl

Þá	aa
var	sfg3eþ
neðanjarðarlestarstöðvum	nvfþ
við	af
ráðhúsið	nheog
lokað	sþghen
í	af
klukkutíma	nkfo
sem	aa
og	c
umferð	nveþ
um	af
Brooklyn-brúna	nveogs
.	pl

Vildi	sfg3eþ
taka	sng
sæti	nheo
Davis	n----s
í	af
borgarstjórn	nveþ
Askew	n----s
hafði	sfg3eþ
sent	sþghen
borgarfulltrúanum	nkeþg
bréf	nheo
fyrr	aam
í	af
þessari	faveþ
viku	nveþ
þar	aa
sem	c
hann	fpken
fór	sfg3eþ
þess	fphee
á	af
leit	nveo
að	c
hann	fpken
samþykkti	svg3eþ
að	cn
eftirláta	sng
sér	fpkeþ
sætið	nheog
í	af
borgarstjórn	nveþ
kæmi	svg3eþ
eitthvað	fohen
fyrir	af
hann	fpkeo
.	pl

Starfsfólki	nheþ
borgarfulltrúans	nkeeg
,	pk
sem	ct
tók	sfg3eþ
við	af
bréfinu	nheþg
,	pk
fannst	sfm3eþ
uppástungan	nveng
undarleg	lvensf
og	c
tók	sfg3eþ
fram	aa
í	af
viðtali	nheþ
við	af
blaðið	nheog
Los	n----s
Angeles	n----s
Times	e
,	pk
að	c
Davis	n----s
hefði	svg3eþ
hafnað	sþghen
beiðninni	nveþg
.	pl

Engan	fokeo
grunaði	sfg3eþ
þó	aa
að	af
samskiptum	nhfþ
þeirra	fpkfe
Askews	n----s
og	c
Davis	n----s
,	pk
sem	ct
kynntust	sfm3fþ
fyrir	af
aðeins	aa
mánuði	nkeþ
síðan	aa
,	pk
myndi	svg3eþ
lykta	sng
eins	aa
og	c
raun	nven
ber	sfg3en
vitni	nheo
.	pl

Davis	n----s
var	sfg3eþ
41	ta
árs	nhee
fyrrverandi	lkenof
lögreglumaður	nken
sem	ct
stofnaði	sfg3eþ
árið	nheog
1991	ta
samtök	nhfo
sem	ct
börðust	sfm3fþ
gegn	af
ofbeldi	nheþ
í	af
stórborgum	nvfþ
Bandaríkjanna	nhfegs
.	pl

Hann	fpken
hafði	sfg3eþ
jafnframt	aa
lagt	sþghen
fyrir	af
borgarráð	nheo
tillögur	nvfo
sem	ct
miðuðu	sfg3fþ
að	af
því	fpheþ
að	cn
stöðva	sng
ofbeldi	nheo
á	af
vinnustöðum	nkfþ
.	pl

Hann	fpken
tileinkaði	sfg3eþ
líf	nheo
sitt	feheo
þeim	fakeþ
málstað	nkeþ
að	cn
stöðva	sng
ofbeldi	nheo
,	pk
tjáði	sfg3eþ
Geoffrey	n----s
Davis	n----s
,	pk
bróðir	nken
hins	gkee
látna	lkeevf
fjölmiðlum	nkfþ
.	pl

Hann	fpken
furðaði	sfg3eþ
sig	fpkeo
ennfremur	aa
á	af
því	fpheþ
að	c
bróðir	nken
sinn	feken
hefði	svg3eþ
verið	sþghen
felldur	sþgken
inni	aa
í	af
opinberri	lveþsf
byggingu	nveþ
.	pl

Hvernig	aa
gat	sfg3eþ
þetta	fahen
gerst	sþmhen
?	pl

spurði	sfg3eþ
hann	fpken
og	c
bætti	sfg3eþ
við	aa
að	c
Davis	n----s
væri	svg3eþ
látinn	lkensf
fyrir	af
tilstilli	nheo
kerfisins	nheeg
.	pl

New	n----s
York	n----s
.	pl

AP	n----s
,	pk
LATWP	n----s
.	pl

Neita	sfg3fn
fréttum	nvfþ
um	af
afsögn	nveo
Campbells	n----s
:	pa
FULLTRÚAR	nkfn
breska	lkeevf
forsætisráðherrans	nkeeg
,	pk
Tonys	n----s
Blairs	n----s
,	pk
báru	sfg3fþ
í	aa
gær	aa
til	af
baka	nhfe
fréttir	nvfo
breska	lheevf
útvarpsins	nheeg
,	pk
BBC	n----s
,	pk
um	af
að	c
afsögn	nven
Alistairs	n----s
Campbells	n----s
,	pk
almannatengslafulltrúa	nkee
og	c
eins	fokee
helsta	lkeeve
ráðgjafa	nkee
Blairs	n----s
,	pk
væri	svg3eþ
væntanleg	lvensf
.	pl

Þetta	fahen
er	sfg3en
óskhyggja	nven
af	af
hálfu	nveþ
BBC	n----s
,	pk
sögðu	sfg3fþ
talsmenn	nkfn
Blairs	n----s
um	af
frétt	nveo
Andrews	n----s
Marrs	n----s
.	pl

Pólitískur	lkensf
ritstjóri	nken
BBC	n----s
[	pa
Marr	n----s
]	pa
hefur	sfg3en
ekki	aa
rætt	sþghen
við	af
Alistair	n----s
Campbell	n----s
um	af
þessi	fahfo
mál	nhfo
,	pk
sögðu	sfg3fþ
talsmenn	nkfn
Blairs	n----s
um	af
frétt	nveo
Marrs	n----s
sem	ct
birtist	sfm3eþ
í	af
fyrrakvöld	nheo
.	pl

Í	af
frétt	nveþ
Marrs	n----s
hafði	sfg3eþ
komið	sþghen
fram	aa
að	c
Campbell	n----s
myndi	svg3eþ
segja	sng
af	af
sér	fpkeþ
vegna	af
dauða	nkee
Davids	n----s
Kelly	n----s
,	pk
vopnasérfræðingsins	nkeeg
sem	ct
framdi	sfg3eþ
sjálfsmorð	nheo
í	af
síðustu	lveþve
viku	nveþ
.	pl

Kelly	n----s
var	sfg3eþ
heimildarmaður	nken
BBC	n----s
vegna	af
fréttar	nvee
um	af
að	c
Campbell	n----s
hefði	svg3eþ
ýkt	sþghen
hættuna	nveog
sem	ct
stafaði	svg3eþ
af	af
gereyðingarvopnaeign	nveþ
Íraka	nkfe-s
svo	aa
auðveldara	lhenvm
væri	svg3eþ
að	cn
réttlæta	sng
árás	nveo
á	af
landið	nheog
.	pl

Campbell	n----s
hafði	sfg3eþ
mjög	aa
gagnrýnt	sþghen
þennan	fakeo
fréttaflutning	nkeo
BBC	n----s
.	pl

The	n----s
Guardian	e
sagði	sfg3eþ
hins	fakee
vegar	nkee
í	af
frétt	nveþ
í	aa
gær	aa
að	c
Blair	n----s
hefði	svg3eþ
tekist	sþmhen
að	cn
telja	sng
Campbell	n----s
á	af
að	cn
fara	sng
hvergi	aa
.	pl

London	n----s
.	pl

AFP	n----s
.	pl

Handtóku	sfg3fþ
einn	fokeo
manna	nkfe
Estrada	n----s
:	pa
LÖGREGLAN	nveng
á	af
Filippseyjum	nvfþ-s
handtók	sfg3eþ
aðstoðarmann	nkeo
Josep	n----s
Estrada	n----s
,	pk
fyrrverandi	lkeeof
forseta	nkee
landsins	nheeg
,	pk
fyrir	af
aðild	nveo
að	af
uppreisn	nveþ
hermanna	nkfe
um	af
helgina	nveog
en	c
þeir	fpkfn
tóku	sfg3fþ
á	af
sitt	feheo
vald	nheo
hótel	nheo
og	c
verslunarmiðstöð	nveo
í	af
fjármálahverfinu	nheþg
í	af
Manila	n----s
.	pl

Forseti	nken
landsins	nheeg
,	pk
Gloria	n----s
Macapagal	n----s
Arroyo	n----s
,	pk
hét	sfg3eþ
því	fpheþ
í	af
árlegri	lveþsf
stefnuræðu	nveþ
sinni	feveþ
í	aa
gær	aa
að	c
forsprakkarnir	nkfng
yrðu	svg3fþ
fundnir	sþgkfn
og	c
sóttir	sþgkfn
til	af
saka	nvfe
.	pl

Ramon	n----s
Cardenas	n----s
sem	ct
var	sfg3eþ
í	af
ríkisstjórn	nveþ
Estradas	n----s
var	sfg3eþ
handtekinn	sþgken
í	aa
gær	aa
og	c
fundust	sfm3fþ
á	af
heimili	nheþ
hans	fpkee
rifflar	nkfn
,	pk
skotfæri	nhfn
og	c
rauð	lhfnsf
armbönd	nhfn
,	pk
sams	fbkee
konar	nkee
og	c
þau	fahfn
sem	ct
uppreisnarmennirnir	nkfng
