Málverkafölsunarmálið	nheng
komið	sþghen
fram	aa
um	af
það	fpheo
að	c
þessi	faven
rannsókn	nven
hafi	svg3en
ekki	aa
verið	sþghen
unnin	sþgven
af	af
miklum	lhfþsf
heilindum	nhfþ
og	c
af	af
miklu	lheþsf
afli	nheþ
af	af
hálfu	nveþ
ríkislögreglustjóraembættisins	nheeg
.	pl
»	pg

Stóra	lhenvf
málverkafölsunarmálið	nheng

Bæði	c
Hæstiréttur	nken-s
og	c
Héraðsdómur	nken-s
höfnuðu	sfg3fþ
í	af
fyrravor	nheo
kröfu	nveþ
sakbornings	nkee
í	af
stóra	lheþvf
málverkafölsunarmálinu	nheþg
um	af
að	c
bannað	sþghen
yrði	svg3eþ
að	cn
leiða	sng
fyrir	af
dóm	nkeo
18	ta
vitni	nhfo
í	af
málinu	nheþg
vegna	af
þess	fphee
að	c
þau	fphfn
væru	svg3fþ
vanhæf	lhfnsf
.	pl

Meðal	af
vitnanna	nhfeg
voru	sfg3fþ
sérfræðingar	nkfn
sem	ct
meirihluti	nken
Hæstaréttar	nkee-s
telur	sfg3en
nú	aa
að	c
ekki	aa
sé	svg3en
hægt	lhensf
að	cn
notast	snm
við	aa
vegna	af
tengsla	nhfe
við	af
einn	fokeo
kærenda	nkfe
í	af
málinu	nheþg
.	pl

Annar	foken
sakborninga	nkfe
í	af
stóra	lheþvf
málverkafölsunarmálinu	nheþg
,	pk
Pétur	nken-s
Þór	nken-s
Gunnarsson	nken-s
,	pk
krafðist	sfm3eþ
þess	fphee
að	c
bannað	sþghen
yrði	svg3eþ
að	cn
leiða	sng
vitni	nhfo
fyrir	af
réttinn	nkeog
.	pl

Það	fphen
var	sfg3eþ
m.a.	ks
rökstutt	sþghen
með	af
því	fpheþ
að	c
það	fphen
væri	svg3eþ
augljós	lvensf
mismunun	nven
gagnvart	af
sakborningum	nkfþ
að	cn
heimila	sng
kunnáttumönnum	nkfþ
sem	ct
hefðu	svg3fþ
hagsmunatengsl	nhfo
við	af
rannsókn	nveo
málsins	nheeg
að	cn
bera	sng
vitni	nheo
fyrir	af
ákæruvaldið	nheog
en	c
útiloka	sng
um	af
leið	nveo
sérfræðivitni	nhfo
sakborninga	nkfe
.	pl

Vitnin	nhfng
væru	svg3fþ
í	af
raun	nveþ
vanhæf	lhfnsf
vegna	af
margvíslegra	lhfesf
hagsmunatengsla	nhfe
við	af
raksakendur	x
og	c
kærendur	nkfo
.	pl

Eitt	fohen
þeirra	fphfe
,	pk
Viktor	nken-s
Smári	nken-s
Sæmundsson	nken-s
væri	svg3eþ
t.d.	ks
forvörður	nken
hjá	af
Listasafni	nheþ-s
Íslands	nhee-s
sem	ct
lagði	sfg3eþ
inn	aa
kæru	nveo
vegna	af
tveggja	tfhfe
verka	nhfe
í	af
eigu	nveþ
safnsins	nheeg
.	pl

Héraðsdómur	nken
hafnaði	sfg3eþ
hins	fakee
vegar	nkee
kröfu	nveþ
Péturs	nkee-s
Þórs	nkee-s
.	pl

Ekki	aa
yrði	svg3eþ
t.d.	ks
séð	sþghen
að	c
sakborningum	nkfþ
væri	svg3eþ
mismunað	sþghen
eins	aa
og	c
haldið	sþghen
væri	svg3eþ
fram	aa
.	pl

Framburður	nken
vitnanna	nhfeg
gæti	svg3eþ
haft	sþghen
þýðingu	nveo
fyrir	af
úrslit	nhfo
málsins	nheeg
en	c
á	af
hinn	fakeo
bóginn	nkeog
kæmu	svg3fþ
meint	lhfnsf
tengslanna	nhfeg
vitnanna	nhfeg
innbyrðis	aa
og	c
við	af
kærendur	nkfo
til	af
álita	nhfe
þegar	c
dómarar	nkfn
þyrftu	svg3fþ
að	cn
meta	sng
skýrslu	nveo
þeirra	fphfe
.	pl

Það	fphen
væri	svg3eþ
og	c
skylda	nven
verjanda	nkee
að	cn
reifa	sng
það	fpheo
í	af
málflutningi	nkeþ
sínum	fekeþ
.	pl

Þetta	fahen
gæti	svg3eþ
ekki	aa
leitt	sþghen
til	af
þess	fphee
að	c
ákæruvaldinu	nheþg
yrði	svg3eþ
bannað	sþghen
að	cn
leiða	sng
fram	aa
vitnin	nhfog
og	c
kröfu	nveþ
Péturs	nkee-s
Þórs	nkee-s
þess	fahee
efnis	nhee
var	sfg3eþ
synjað	sþghen
.	pl

Hæstiréttur	nken-s
staðfesti	sfg3eþ
þessa	faveo
niðurstöðu	nveo
og	c
vitnin	nhfng
sögðu	sfg3fþ
álit	nheo
sitt	feheo
í	af
héraði	nheþ
.	pl

Meirihluti	nken
Hæstaréttar	nkee-s
telur	sfg3en
hins	fakee
vegar	nkee
núna	aa
í	af
sýknudómi	nkeþ
sínum	fekeþ
í	af
málinu	nheþg
að	c
álit	nhfn
sem	ct
Viktor	nken-s
Smári	nken-s
Sæmundsson	nken-s
vann	sfg3eþ
séu	svg3fn
ekki	aa
tæk	lhfnsf
fyrir	af
dómi	nkeþ
vegna	af
þess	fphee
að	c
hann	fpken
hafi	svg3en
starfað	sþghen
hjá	af
einum	fokeþ
kærenda	nkfe
,	pk
Listasafni	nheþ-s
Íslands	nhee-s
.	pl

Þetta	faheo
telja	sfg3fn
lögreglu-	kt
og	c
ákæruvald	nhen
ganga	sng
þvert	aa
á	af
fyrri	lveovm
niðurstöðu	nveo
dómstóla	nkfe
í	af
málinu	nheþg
en	c
þá	aa
má	sfg3en
líka	aa
ítreka	sng
að	c
Héraðsdómur	nken-s
benti	sfg3eþ
á	af
það	fpheo
í	af
úrskurði	nkeþ
sínum	fekeþ
í	af
fyrravor	nheo
að	cn
hafa	sng
þyrfti	svg3eþ
tengslin	nhfog
í	af
huga	nkeþ
þegar	c
skýrslur	nvfn
vitnanna	nhfeg
væru	svg3fþ
metnar	sþgvfn
.	pl

Ákæruvaldið	nheng
er	sfg3en
ósátt	lhensf
við	af
að	c
þeim	fphfþ
sé	svg3en
kastað	sþghen
út	aa
af	af
borðinu	nheþg
en	c
verjendur	nkfn
og	c
sakborningar	nkfn
segja	sfg3fn
að	c
önnur	foven
niðurstaða	nven
hafi	svg3en
ekki	aa
verið	sþghen
möguleg	lvensf
til	af
að	c
málsmeðferðin	nveng
yrði	svg3eþ
réttlát	lvensf
.	pl

Málskotsrétturinn	nkeng

Mikill	lkensf
meirihluti	nken
þjóðarinnar	nveeg
er	sfg3en
andvígur	lkensf
fjölmiðlafrumvarpi	nheþ
ríkisstjórnarinnar	nveeg
og	c
telur	sfg3en
forseta	nkeo
lýðveldisins	nheeg
hafa	sng
vald	nheo
til	af
að	cn
staðfesta	sng
ekki	aa
lög	nhfo
og	c
skjóta	sng
þeim	fphfþ
til	af
þjóðarinnar	nveeg
.	pl

7	ta
af	af
hverjum	fokfþ
10	ta
telja	sfg3fn
að	c
forsetinn	nkeng
eigi	svg3en
að	cn
nýta	sng
málskotsréttinn	nkeog
verði	svg3en
fjölmiðlafrumvarpið	nheng
að	af
lögum	nhfþ
.	pl

Þetta	fahen
kemur	sfg3en
fram	aa
í	af
nýrri	lveþsf
skoðanakönnun	nveþ
Fréttablaðsins	nheegs
sem	ct
gerð	sþgven
var	sfg3eþ
í	aa
gær	aa
.	pl

Fyrst	aae
var	sfg3eþ
spurt	sþghen
hvort	c
fólk	nhen
væri	svg3eþ
fylgjandi	lhenof
eða	c
andvígt	lhensf
fjölmiðlafrumvarpi	nheþ
ríkisstjórnarinnar	nveeg
.	pl

4	ta
af	af
hverjum	fokfþ
5	ta
eru	sfg3fn
andvígir	lkfnsf
en	c
fimmtungur	nken
er	sfg3en
fylgjandi	lkenof
frumvarpinu	nheþg
.	pl

Ívíð	aa
fleiri	lvfnvm
konur	nvfn
eru	sfg3fn
andvígar	lvfnsf
frumvarpinu	nheþg
en	c
karlar	nkfn
en	c
ekki	aa
er	sfg3en
munur	nken
eftir	af
búsetu	nveþ
.	pl

Þá	aa
var	sfg3eþ
spurt	sþghen
hvort	c
forseti	nken
Íslands	nhee-s
hefði	svg3eþ
vald	nheo
til	af
að	cn
staðfesta	sng
ekki	aa
lög	nhfo
og	c
skjóta	sng
þeim	fphfþ
þannig	aa
til	af
þjóðarinnar	nveeg
.	pl

Tæp	lhfnsf
87%	tp
telja	sfg3fn
forsetann	nkeog
hafa	sng
valdið	nheog
.	pl

Hvorki	c
er	sfg3en
munur	nken
eftir	af
kyni	nheþ
ná	x
búsetu	nveþ
.	pl

Loks	aa
var	sfg3eþ
spurt	sþghen
hvort	c
forsetinn	nkeng
ætti	svg3eþ
að	cn
neita	sng
að	cn
undirrita	sng
fjölmiðlalög	nhfo
ríkisstjórnarinnar	nveeg
og	c
skjóta	sng
þeim	fphfþ
til	af
þjóðarinnar	nveeg
.	pl

71%	tp
telur	sfg3en
hann	fpkeo
eiga	sng
að	cn
gera	sng
það	fpheo
en	c
29%	tp
eru	sfg3fn
á	af
öðru	foheþ
máli	nheþ
.	pl

Heldur	aam
fleiri	lvfnvm
konur	nvfn
en	c
karlar	nkfn
telja	sfg3fn
að	c
forsetinn	nkeng
ætti	svg3eþ
ekki	aa
að	cn
undirrita	sng
lögin	nhfog
en	c
ekki	aa
er	sfg3en
marktækur	lkensf
munur	nken
á	af
skoðunum	nvfþ
eftir	af
búsetu	nveþ
,	pk
samkvæmt	af
Fréttablaðinu	nheþgs
.	pl

Séu	svg3fn
niðurstöður	nvfn
könnunarinnar	nveeg
bornar	sþgvfn
saman	aa
við	af
könnun	nveo
Gallup	n----s
fyrir	af
Norðurljós	nhfo-s
sem	ct
gerð	sþgven
var	sfg3eþ
á	af
nokkurra	fokfe
daga	nkfe
tímabili	nheþ
um	af
síðustu	lhfove
mánaðamót	nhfo
,	pk
virðist	sfm3en
andstaða	nven
við	af
fjölmiðlafrumvarpið	nheog
fara	sng
vaxandi	slg
en	c
þá	aa
voru	sfg3fþ
2	ta
af	af
hverjum	fokfþ
3	ta
andvígir	lkfnsf
frumvarpinu	nheþg
.	pl

Í	af
könnun	nveþ
Fréttablaðsins	nheegs
var	sfg3eþ
hringt	sþghen
í	af
800	ta
manns	nkee
en	c
ekki	aa
kemur	sfg3en
fram	aa
hversu	aa
hátt	lhensf
hlutfall	nhen
svaraði	sfg3eþ
.	pl

Skorað	sþghen
á	af
þingmenn	nkfo
að	cn
skoða	sng
hug	nkeo
sinn	fekeo

Bæjarstjórn	nven
Ísafjarðar	nkee-s
samþykkti	sfg3eþ
á	af
fundi	nkeþ
sínum	fekeþ
á	af
miðvikudag	nkeo
tillögu	nveo
Lárusar	nkee-s
G.	ks
Valdimarssonar	nkee-s
,	pk
Samfylkingu	nveþ-s
um	af
að	cn
skora	sng
á	af
þingmenn	nkfo
Norðvesturkjördæmis	nhee-s
að	cn
skoða	sng
vel	aa
hug	nkeo
sinn	fekeo
við	af
afgreiðslu	nveo
fjölmiðlafrumvarps	nhee
forsætisráðherra	nkee
.	pl

Bæjarstjórn	nven
Ísafjarðarbæjar	nkee-s
harmar	sfg3en
þau	fahfo
vinnubrögð	nhfo
sem	ct
viðhöfð	sþghfn
hafi	svg3fn
verið	sþghen
af	af
hálfu	nveþ
meirihluta	nkee
Alþingis	nhee-s
í	af
tengslum	nhfþ
við	af
þinglega	lveosf
meðferð	nveo
fjölmiðlafrumvarpsins	nheeg
.	pl

Þau	fahfn
vinnubrögð	nhfn
séu	svg3fn
vart	aa
til	af
þess	fphee
fallin	sþghfn
að	cn
auka	sng
virðingu	nveo
almennings	nkee
fyrir	af
hinu	gheþ
háa	lheþvf
Alþingi	nheþ-s
.	pl

Við	af
lagasetningu	nveo
sem	ct
varði	svg3en
grundvallaratriði	nhfo
lýðræðisins	nheeg
sé	svg3en
æskilegt	lhensf
að	c
um	af
hana	fpveo
náist	svm3en
þverpólitísk	lvensf
sátt	nven
.	pl

Tillagan	nveng
var	sfg3eþ
samþykkt	sþgven
með	af
7	ta
atkvæðum	nhfþ
gegn	af
einu	tfheþ
.	pl

Einn	tfken
bæjarfulltrúi	nken
Sjálfstæðisflokks	nkee-s
var	sfg3eþ
á	aa
móti	aa
og	c
annar	foken
sat	sfg3eþ
hjá	aa
við	af
afgreiðsluna	nveog
.	pl

Heilbrigðisþjónustan	nveng

Jón	nken-s
Kristjánsson	nken-s
,	pk
heilbrigðisráðherra	nken
segir	sfg3en
rangar	lvfosf
upplýsingar	nvfo
koma	sng
fram	aa
í	af
nýrri	lveþsf
skýrslu	nveþ
kanadísku	lveevf
Fraser-stofnunarinnar	nveegs
.	pl

Í	af
skýrslunni	nveþg
er	sfg3en
m.a.	ks
fullyrt	sþghen
að	c
hér	aa
á	af
landi	nheþ
sé	svg3en
aðgangur	nken
að	af
sérfræðingum	nkfþ
og	c
hátæknibúnaði	nkeþ
takmarkaður	lkensf
og	c
að	c
Íslendingar	nkfn-s
þurfi	svg3fn
að	cn
verja	sng
lengstum	lkeþse
tíma	nkeþ
á	af
biðlistum	nkfþ
þrátt	aa
fyrir	af
að	c
hér	aa
sé	svg3en
rekið	sþghen
dýrasta	lhenve
heilbrigðiskerfi	nhen
í	af
heimi	nkeþ
.	pl

Jón	nken-s
Kristjánsson	nken-s
,	pk
heilbrigðisráðherra	nken
segir	sfg3en
þetta	faheo
rangt	lheosf
.	pl

Jón	nken-s
Kristjánsson	nken-s
,	pk
heilbrigðisráðherra	nken
(	pa
B	x
)	pa
:	pa
«	pg
Samkvæmt	af
tölum	nvfþ
OECD	n----s
sem	ct
að	c
eru	sfg3fn
viðurkenndar	sþgvfn
þá	aa
erum	sfg1fn
við	fp1fn
í	af
7.	ta
sæti	nheþ
þegar	c
að	c
heildarútgjöld	nhfn
til	af
heilbrigðismála	nhfe
eru	sfg3fn
skoðuð	sþghfn
,	pk
bæði	c
opinber	lhfnsf
útgjöld	nhfn
og	c
útgjöld	nhfn
notenda	nkfe
.	pl

Ef	c
að	c
einungis	aa
opinberu	lhfnvf
útgjöldin	nhfng
eru	sfg3fn
tekin	sþghfn
þá	aa
erum	sfg1fn
við	fp1fn
í	af
2.	ta
sæti	nheþ
.	pl

En	c
það	fphen
er	sfg3en
pólitísk	lvensf
ákvörðun	nven
að	c
við	fp1fn
kostað	x
okkar	fp1fe
heilbrigðiskerfi	nheo
af	af
skattpeningum	nkfþ
.	pl

Langdýrasta	lhenve
heilbrigðiskerfi	nhen
í	af
heimi	nkeþ
er	sfg3en
heilbrigðiskerfi	nhen
Bandaríkjanna	nhfegs
þar	aa
sem	c
er	sfg3en
kostað	sþghen
mjög	aa
stórum	lkeþsf
hluta	nkeþ
af	af
notendum	nkfþ
.	pl

Þannig	aa
að	c
þessar	favfn
fullyrðingar	nvfn
sem	ct
að	c
þarna	aa
koma	sfg3fn
fram	aa
eru	sfg3fn
rangar	lvfnsf
.	pl
»	pg

Jón	nken-s
segir	sfg3en
það	fpheo
líka	aa
rangt	lheosf
að	c
aðgengi	nhen
hér	aa
á	af
landi	nheþ
sé	svg3en
verra	lhenvm
en	c
annars	fokee
staðar	nkee
.	pl

Það	fphen
hafi	svg3en
batnað	sþghen
á	af
undanförnum	lhfþsf
árum	nhfþ
og	c
árangur	nken
heilbrigðiskerfisins	nheeg
sé	svg3en
góður	lkensf
í	af
alþjóðlegum	lkeþsf
samanburði	nkeþ
m.a.	ks
segi	svg3fn
nýjar	lvfnsf
tölur	nvfn
frá	af
Alþjóða	lveþof
heilbrigðisstofnunni	nveþg
að	c
ungbarnadauði	nken
hér	aa
sé	svg3en
sá	faken
lægsti	lkenve
í	af
heimi	nkeþ
.	pl

Einn	tfken
höfunda	nkfe
skýrslunnar	nveeg
segir	sfg3en
m.a.	ks
að	c
til	af
að	cn
leysa	sng
vandamál	nhfo
dýrra	lhfesf
heilbrigðiskerfa	nhfe
þurfi	svg3en
samkeppni	nveo
.	pl

Hann	fpken
segir	sfg3en
að	c
fái	svg3en
einkafyrirtæki	nhen
opinbert	lheosf
fé	nheo
til	af
að	cn
reka	sng
heilbrigðisþjónustu	nveo
fáist	svm3en
meira	lhenvm
fyrir	af
peningana	nkfog
.	pl

Þess	fphee
má	sfg3en
geta	sng
að	c
opinber	lvensf
stefna	nven
Fraser-stofnunarinnar	nveegs
er	sfg3en
að	cn
boða	sng
lækkun	nveo
skatta	nkfe
og	c
markaðslausnir	nvfo
í	af
opinberum	lkeþsf
rekstri	nkeþ
.	pl

Ólöglegar	lvfnsf
framkvæmdir	nvfn
við	af
Þingvallavatn	nheo-s

Sigurður	nken-s
Oddsson	nken-s
,	pk
þjóðgarðsvörður	nken
á	af
Þingvöllum	nkfþ-s
kallaði	sfg3eþ
í	af
morgun	nkeo
lögreglu	nveo
á	af
vettvang	nkeo
vegna	af
framkvæmda	nvfe
við	af
Þingvallaland	nheo-s
í	af
landi	nheþ
Kárastaða	nkfe-s
sem	ct
hann	fpken
telur	sfg3en
vera	sng
ólöglegar	lvfosf
.	pl

Þetta	fahen
er	sfg3en
í	af
annað	lheosf
sinn	nheo
á	af
skömmum	lkeþsf
tíma	nkeþ
sem	ct
lögregla	nven
er	sfg3en
kölluð	sþgven
til	aa
vegna	af
framkvæmda	nvfe
við	af
vatnið	nheog
.	pl

Framkvæmdunum	nvfþg
er	sfg3en
lokið	sþghen
svo	aa
ekki	aa
kom	sfg3eþ
til	af
þess	fphee
að	c
lögreglan	nveng
þyrfti	svg3eþ
að	cn
stöðva	sng
þær	fpvfo
hins	fakee
vegar	nkee
voru	sfg3fþ
teknar	sþgvfn
skýrslur	nvfn
vegna	af
málsins	nheeg
.	pl

Sigurður	nken-s
Oddsson	nken-s
,	pk
þjóðgarðsvörður	nken
segir	sfg3en
að	c
höggvið	sþghen
hafi	svg3en
verið	sþghen
í	af
berg	nheo
við	af
strandlengjuna	nveog
á	af
Kárastaðanesi	nheþ-s
til	af
að	cn
koma	sng
fyrir	aa
bátaskýli	nheþ
og	c
jafnframt	aa
að	c
lagðir	sþgkfn
hafi	svg3fn
verið	sþghen
þrír	tfkfn
grjótgarðar	nkfn
út	aa
í	af
vatnið	nheog
.	pl

Hann	fpken
segir	sfg3en
að	c
staðurinn	nkeng
sé	svg3en
reyndar	aa
fyrir	af
utan	aa
sjálfan	fbkeo
þjóðgarðinn	nkeog
en	c
svæðið	nheng
sé	svg3en
samt	aa
sem	c
áður	aa
á	af
ábyrgð	nveo
þingvallanefndar	nvee
.	pl

Hann	fpken
segir	sfg3en
að	c
um	af
kolólöglegar	lvfosf
framkvæmdir	nvfo
sé	svg3en
að	cn
ræða	sng
og	c
að	c
væntanlega	aa
verði	svg3en
þess	fphee
krafist	sþmhen
að	c
ströndin	nveng
verði	svg3en
færð	sþgven
í	af
fyrra	lheovm
horf	nheo
.	pl

Sigurður	nken-s
Oddsson	nken-s
,	pk
þjóðgarðsvörður	nken
á	af
Þingvöllum	nkfþ-s
:	pa
«	pg
Já	au
þetta	fahen
eru	sfg3fn
kolólöglegar	lvfnsf
framkvæmdir	nvfn
.	pl

Í	af
fyrsta	lheþve
lagi	nheþ
þá	aa
er	sfg3en
þetta	fahen
ekki	aa
inni	aa
á	af
landi	nheþ
sumarbústaðaeigenda	nkfe
því	fpheþ
að	c
landið	nheng
meðfram	af
vatninu	nheþg
tilheyrir	sfg3en
ekki	aa
bústöðunum	nkfþg
þó	aa
þeir	fpkfn
standi	svg3fn
við	af
vatnið	nheog
.	pl

Síðan	aa
er	sfg3en
ekki	aa
neitt	fohen
leyfi	nhen
fyrir	af
þessu	faheþ
frá	aa
,	pk
það	fphen
hefur	sfg3en
ekki	aa
verið	sþghen
sótt	sþghen
um	af
leyfi	nheo
fyrir	af
einu	foheþ
eða	c
neinu	foheþ
hérna	aa
,	pk
hvorki	c
til	af
byggingaryfirvalda	nhfe
eða	c
til	af
Þingvallanefndar	nvee-s
enda	c
ekki	aa
forsendur	nvfn
fyrir	af
því	fpheþ
því	fpheþ
það	fphen
er	sfg3en
engin	foven
landheimild	nven
til	aa
.	pl
»	pg

Arnar	nken-s
Páll	nken-s
Hauksson	nken-s
:	pa
«	pg
En	c
hvað	fshen
verður	sfg3en
gert	sþghen
núna	aa
?	pl
»	pg

Sigurður	nken-s
Oddsson	nken-s
:	pa
«	pg
Það	fphen
verður	sfg3en
gengið	sþghen
í	af
málið	nheog
.	pl

Ég	fp1en
mun	sfg1en
ræða	sng
þetta	faheo
við	af
Þingvallanefnd	nveo-s
þannig	aa
að	c
það	fphen
er	sfg3en
ljóst	lhensf
að	c
það	fphen
verður	sfg3en
tekið	sþghen
á	af
þessu	faheþ
máli	nheþ
.	pl
»	pg

Forsetaframboð	nhen

Framboðsfrestur	nken
vegna	af
forsetakosninganna	nvfeg
26.	ta
júní	nkeo
rennur	sfg3en
út	aa
á	af
miðnætti	nheþ
.	pl

Dómsmálaráðuneyti	nhen
úrskurðar	sfg3en
væntanlega	aa
á	af
morgun	nkeo
hvaða	fshfn
framboð	nhfn
teljast	sfm3fn
gild	lhfnsf
.	pl

Þrír	tfkfn
hafa	sfg3fn
tilkynnt	sþghen
um	af
að	c
þeir	fpkfn
gefi	svg3fn
kost	nkeo
á	af
sér	fpkfþ
til	af
embættis	nhee
forseta	nkee
.	pl

Ólafur	nken-s
Ragnar	nken-s
Grímsson	nken-s
,	pk
forseti	nken
Íslands	nhee-s
,	pk
Baldur	nken-s
Ágústsson	nken-s
,	pk
stofnandi	nken
öryggisþjónustunnar	nveeg
Vara	nkee-s
og	c
Ástþór	nken-s
Magnússon	nken-s
,	pk
stofnandi	nken
Friðar	nkee-s
2000	ta
.	pl

En	c
hvaða	fshfþ
gögnum	nhfþ
þurfa	sfg3fn
frambjóðendur	nkfn
að	cn
vera	sng
búnir	lkfnsf
að	cn
afla	sng
og	c
skila	sng
inn	aa
til	af
dómsmálaráðuneytisins	nheeg
áður	aa
en	c
framboðsrennur	x
út	aa
á	af
miðnætti	nheþ
.	pl

Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
,	pk
lögfræðingur	nken
í	af
dómsmálaráðuneytinu	nheþg
:	pa
«	pg
Þeir	fpkfn
skila	sfg3fn
inn	aa
vottorðum	nhfþ
yfirkjörstjórna	nvfe
um	af
kosningabærni	nheo
meðmælenda	nkfe
sinna	fekfe
.	pl

Þeir	fpkfn
skila	sfg3fn
inn	aa
yfirlýsingu	nveþ
eða	c
samþykki	nheþ
forsetaefnis	nhee
um	af
að	c
þeir	fpkfn
vilji	svg3fn
vera	sng
í	af
kjöri	nheþ
og	c
meðmælendalistum	nkfþ
og	c
hugsanlega	aa
hverjir	fskfn
eru	sfg3fn
umboðsmenn	nkfn
framboðanna	nhfeg
sinn	x
.	pl
»	pg

Segir	sfg3en
Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
,	pk
lögfræðingur	nken
í	af
dómsmálaráðuneytinu	nheþg
.	pl

Hún	fpven
segir	sfg3en
að	c
ráðuneytið	nheng
taki	svg3en
á	aa
móti	af
framboðum	nhfþ
allt	fohen
fram	aa
til	af
miðnættis	nhee
.	pl

En	c
hvenær	aa
verður	sfg3en
fundur	nken
í	af
ráðuneytinu	nheþg
til	af
að	cn
ganga	sng
úr	af
skugga	nkeþ
um	af
að	c
öll	fohfn
framboðin	nhfng
séu	svg3fn
gild	lhfnsf
og	c
lögleg	lhfnsf
?	pl

Anna	nven-s
Sigríður	nven-s
Arnardóttir	nven-s
:	pa
«	pg
Það	fphen
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	af
að	c
það	fphen
verði	svg3en
haldinn	sþgken
fundur	nken
í	af
ráðuneytinu	nheþg
á	af
morgun	nkeo
með	af
umboðsmönnum	nkfþ
framboða	nhfe
og	c
þar	aa
vænti	sfg1en
ég	fp1en
að	c
verði	svg3en
farið	sþghen
yfir	af
framkomin	lhfosf
framboð	nhfo
og	c
úrskurði	svg3en
hverjir	fskfn
verði	svg3fn
í	af
kjöri	nheþ
.	pl
»	pg

Helgi	nken-s
óskar	sfg3en
upplýsinga	nvfe

Fundur	nken
umboðsmanns	nkee
Alþingis	nhee-s
með	af
forseta	nkeþ
og	c
varaforseta	nkeþ
Alþingis	nhee-s
,	pk
þar	aa
sem	c
forsætisráðherra	nken
var	sfg3eþ
viðstaddur	lkensf
,	pk
er	sfg3en
trúnaðarmál	nhen
.	pl

Fundurinn	nkeng
var	sfg3eþ
haldinn	sþgken
að	af
frumkvæði	nheþ
umboðsmanns	nkee
sem	ct
ætlar	sfg3en
að	cn
setja	sng
reglur	nvfo
um	af
samskipti	nhfo
sín	fehfo
við	af
stjórnvöld	nhfo
.	pl

Tilefnið	nheng
er	sfg3en
símtal	nhen
sem	ct
forsætisráðherra	nken
átti	sfg3eþ
við	af
hann	fpkeo
4.	ta
maí	nkeo
.	pl

Helgi	nken-s
Hjörvar	nken-s
,	pk
Samfylkingu	nveþ-s
fer	sfg3en
fram	aa
á	af
að	c
forsætisráðherra	nken
svari	svg3en
því	fpheþ
úr	af
ræðustóli	nkeþ
Alþingis	nhee-s
hvort	c
hann	fpken
hafi	svg3en
veitt	sþghen
umboðsmanni	nkeþ
tiltal	nheo
eða	c
ekki	aa
.	pl

Símtalið	nheng
var	sfg3eþ
sama	fbkeo
dag	nkeo
og	c
álit	nhen
umboðsmanns	nkee
varð	sfg3eþ
opinbert	lhensf
.	pl

Halldór	nken-s
Blöndal	nken-s
,	pk
forseti	nken
þingsins	nheeg
,	pk
og	c
Guðmundur	nken-s
Árni	nken-s
Stefánsson	nken-s
,	pk
fyrsti	lkenve
varaforseti	nken
,	pk
hittu	sfg3fþ
forsætisráðherra	nkeo
og	c
umboðsmann	nkeo
í	af
morgun	nkeo
á	af
fundi	nkeþ
.	pl

Í	af
frétt	nveþ
Alþingis	nhee-s
segir	sfg3en
að	c
tilefnið	nheng
sé	svg3en
símtal	nhen
,	pk
sem	ct
vikið	sþghen
hafi	svg3en
verið	sþghen
að	aa
á	af
opinberum	lkeþsf
vettvangi	nkeþ
.	pl

Og	c
það	fphen
var	sfg3eþ
fyrst	aae
frétt	nven
í	af
DV	n----s
um	af
samskipti	nhfo
forsætisráðherra	nkee
og	c
umboðsmanns	nkee
höfð	sþgven
eftir	af
trúnaðarmönnum	nkfþ
þess	fakee
síðarnefnda	lkeevf
.	pl

En	c
Helgi	nken-s
Hjörvar	nken-s
,	pk
Samfylkingu	nveþ-s
tók	sfg3eþ
málið	nheog
upp	aa
í	af
þinginu	nheþg
sama	fbkeo
dag	nkeo
.	pl

Enginn	foken
þeirra	fpkfe
fjögurra	tfkfe
sem	ct
hittust	sfm3fþ
í	af
morgun	nkeo
veittu	sfg3fþ
viðtal	nheo
eða	c
tjáðu	sfg3fþ
sig	fpkfo
umfram	af
það	faheo
sem	ct
frá	aa
greinir	sfg3en
í	af
frétt	nveþ
þingsins	nheeg
.	pl

Fundurinn	nkeng
er	sfg3en
trúnaðarmál	nhen
þeirra	fakfe
sem	ct
hann	fpkeo
sátu	sfg3fþ
.	pl

Guðmundur	nken-s
Árni	nken-s
Stefánsson	nken-s
,	pk
fyrsti	lkenve
varaforseti	nken
þingsins	nheeg
,	pk
segist	sfm3en
sáttur	lkensf
og	c
niðurstaðan	nveng
sé	svg3en
góð	lvensf
.	pl

Einar	nken-s
K.	ks
Guðfinnsson	nken-s
,	pk
þingflokksformaður	nken
Sjálfstæðisflokksins	nkeegs
,	pk
sagði	sfg3eþ
Helga	nkeo-s
Hjörvar	nkeo-s
byggja	sng
málflutning	nkeo
sinn	fekeo
á	af
kviksögum	nvfþ
úr	af
DV	n----s
í	af
þinginu	nheþg
um	af
daginn	nkeog
.	pl

Helgi	nken-s
telur	sfg3en
fundinn	nkeog
í	af
dag	nkeo
staðfestingu	nveo
á	af
því	fpheþ
að	c
forsætisráðherra	nken
hafi	svg3en
haft	sþghen
